title,url,used_url,body_len,label,confidence,evidence,aspects,lex_margin,lex_hits_pos_n,lex_hits_neg_n,trig_pos,trig_neg,impact_score,impact_tier,impact_why,sent_score,label_int,model_used,simhash64,reused_from_cluster,domain,date
Venezuela Searches for Missing Helicopter in Amazon Jungle - VOA - Voice of America English News,https://news.google.com/rss/articles/CBMilAFBVV95cUxOMXJvMndvUWx2b3RMLTVYTzJpTFF0VTZ2S0xZelc2TXBvdHFBMzN5ZFZRbDFqZTJUa2NnT1ZhQzdPVVJXWGVTS3R5Y3JOUVBHMkI4V1dxdWw0SWZzTXZnSjhoamVFU3lrWE0tUFNkWmZWOGtHTG1FMEFCQjRaXzVGMXRPUDYyY20wS19RV0tWaHlLTWk30gGXAUFVX3lxTE9YN0tSVHdBdldPOUdVNkJjV1NWVXp5Z1lNcmRXSUdQQ2ZCOGllLUR1VDdwa2UxU2t5U2pIZkZsQVJYVGtzUkNfVWZpY1RucXcwMUYtbTk3X19HZ3JSem1DcDZ4V1NEcmg3UFluTHFTdVBTUFNRWmx5a3BpY09acDdEdENDdi1uUF94SUhOTFhZaGFXZ0tjSEU?oc=5,https://news.google.com/rss/articles/CBMilAFBVV95cUxOMXJvMndvUWx2b3RMLTVYTzJpTFF0VTZ2S0xZelc2TXBvdHFBMzN5ZFZRbDFqZTJUa2NnT1ZhQzdPVVJXWGVTS3R5Y3JOUVBHMkI4V1dxdWw0SWZzTXZnSjhoamVFU3lrWE0tUFNkWmZWOGtHTG1FMEFCQjRaXzVGMXRPUDYyY20wS19RV0tWaHlLTWk30gGXAUFVX3lxTE9YN0tSVHdBdldPOUdVNkJjV1NWVXp5Z1lNcmRXSUdQQ2ZCOGllLUR1VDdwa2UxU2t5U2pIZkZsQVJYVGtzUkNfVWZpY1RucXcwMUYtbTk3X19HZ3JSem1DcDZ4V1NEcmg3UFluTHFTdVBTUFNRWmx5a3BpY09acDdEdENDdi1uUF94SUhOTFhZaGFXZ0tjSEU?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.6,miss,[],0.0,0,0,,miss,0.16,weak,conf=0.60; novelty,-0.6,-1,gpt-4o-mini,3039362640166120444,0,news.google.com,2017-01-01
Amazon’s Spheres: Lush nature paradise to adorn $4 billion urban campus - The Seattle Times,https://news.google.com/rss/articles/CBMiygFBVV95cUxPT0J3UG1VSzloT1F3S3hYeGp2T00wdnplUUt2VUJRQXhscXE2bGNaVS1SSk04U1FXaFowX09YbUE1VzJkaHZRYUxxNEhYTGZYc3lKbmZwN1NZMTM4a3NnZmtiZllNYXYtazdwdDRlVUt2aEprUUY0bThRMHJDdGo5cnhZTktBdlNpb0QwMWk3NlZvdUJRVEJDRUFiWHFJSFRIQnhzOWpzVDZMOWRzOGVoei1JSVJVT2lHX25fa2hKbGF1cE1wNm5vbHNR?oc=5,https://news.google.com/rss/articles/CBMiygFBVV95cUxPT0J3UG1VSzloT1F3S3hYeGp2T00wdnplUUt2VUJRQXhscXE2bGNaVS1SSk04U1FXaFowX09YbUE1VzJkaHZRYUxxNEhYTGZYc3lKbmZwN1NZMTM4a3NnZmtiZllNYXYtazdwdDRlVUt2aEprUUY0bThRMHJDdGo5cnhZTktBdlNpb0QwMWk3NlZvdUJRVEJDRUFiWHFJSFRIQnhzOWpzVDZMOWRzOGVoei1JSVJVT2lHX25fa2hKbGF1cE1wNm5vbHNR?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.6,ban,[],0.0,0,0,,ban,0.16,weak,conf=0.60; novelty,-0.6,-1,gpt-4o-mini,813274028353573382,0,news.google.com,2017-01-02
Whole Foods targeted by two lawsuits over undistributed Gainsharing bonuses - Grocery Dive,https://news.google.com/rss/articles/CBMitwFBVV95cUxNRXdmYVhCdUctQTFxOWw5alNZMTA1ZTNCbzUya2xpUHNGMHBrdjdQanVSZDB1UjFGOUpIR2FGVkRJWDdPLXFaSC1fNUdkSndYZ21tSVBSZFdzLUdMZXRFMUZ2WWZ6b2FfcXBKdjJFakViWHpFMHVZdWF5ZDBDdVJsZVNxcHdtc3pjNTZodEpwai0yMkRHVGtnVmpCcXdLRmZodmR1VjlWV0xXbVk3WXQyR09WWnBndVU?oc=5,https://news.google.com/rss/articles/CBMitwFBVV95cUxNRXdmYVhCdUctQTFxOWw5alNZMTA1ZTNCbzUya2xpUHNGMHBrdjdQanVSZDB1UjFGOUpIR2FGVkRJWDdPLXFaSC1fNUdkSndYZ21tSVBSZFdzLUdMZXRFMUZ2WWZ6b2FfcXBKdjJFakViWHpFMHVZdWF5ZDBDdVJsZVNxcHdtc3pjNTZodEpwai0yMkRHVGtnVmpCcXdLRmZodmR1VjlWV0xXbVk3WXQyR09WWnBndVU?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.78,lawsuit,[],1.4,0,1,,lawsuit,0.555,medium,hard_trig; lex=0.70; conf=0.78; novelty,-0.78,-1,gpt-4o-mini,10804108584651447211,0,news.google.com,2017-01-03
How to stop Alexa from ordering stuff without your permission - iMore,https://news.google.com/rss/articles/CBMigAFBVV95cUxOX1NaaXdDR184bzJRYjdrV3VhQXhJRGJDOUd6YS11aHBDdXVSeldHblVzc0hVcXlUTnh3ODhNLTNObmp6dUJFLW5IeDM0ZGVBM2VYYzd5OERNa1BYVWxSSnAtUER3d2lUcXVEWlNOc3U1QllaaVFjajhMa251eXRyYg?oc=5,https://news.google.com/rss/articles/CBMigAFBVV95cUxOX1NaaXdDR184bzJRYjdrV3VhQXhJRGJDOUd6YS11aHBDdXVSeldHblVzc0hVcXlUTnh3ODhNLTNObmp6dUJFLW5IeDM0ZGVBM2VYYzd5OERNa1BYVWxSSnAtUER3d2lUcXVEWlNOc3U1QllaaVFjajhMa251eXRyYg?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.6,miss,[],0.0,0,0,,miss,0.16,weak,conf=0.60; novelty,-0.6,-1,gpt-4o-mini,4624780921896463416,0,news.google.com,2017-01-09
Ancient human disturbances may skew understanding of Amazon and its impact (Update) - Phys.org,https://news.google.com/rss/articles/CBMigAFBVV95cUxPaTJQbGJwVjNwU0dFUFRBMW5fN1BYMmJCRkk0VXpmTUZTSVdCaUdNakdIcXlzRHVzYTF1bmtNOXNhYlZXRkdmVXFNRTRXRU5maGgyNmVqUHhKamJkV1d1MFJTVUdQZGhId2xlMXdod1MyMVNqc3NLUkVZSFVERVhvS9IBf0FVX3lxTE55Qi1uWHAxc2pfdWxJaTI5dXRaeXg5MDk4bFhEOU40Q21uc0NHMXgwbEVibGs2dUVubFJKSkZPeEJteDdLbVJyQ3JZMzd5enRVOG5GYkg0Y01xMzZRMlVIaUF0WEJXcUJjTHFSWTJVbmFWZnQ4OUNnSW9pdmpCaU0?oc=5,https://news.google.com/rss/articles/CBMigAFBVV95cUxPaTJQbGJwVjNwU0dFUFRBMW5fN1BYMmJCRkk0VXpmTUZTSVdCaUdNakdIcXlzRHVzYTF1bmtNOXNhYlZXRkdmVXFNRTRXRU5maGgyNmVqUHhKamJkV1d1MFJTVUdQZGhId2xlMXdod1MyMVNqc3NLUkVZSFVERVhvS9IBf0FVX3lxTE55Qi1uWHAxc2pfdWxJaTI5dXRaeXg5MDk4bFhEOU40Q21uc0NHMXgwbEVibGs2dUVubFJKSkZPeEJteDdLbVJyQ3JZMzd5enRVOG5GYkg0Y01xMzZRMlVIaUF0WEJXcUJjTHFSWTJVbmFWZnQ4OUNnSW9pdmpCaU0?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.55,ban,[],0.0,0,0,,ban,0.124,weak,conf=0.55; pen:modal; novelty,-0.55,-1,gpt-4o-mini,4449046567545297532,0,news.google.com,2017-01-09
The Privacy Threat From Always-On Microphones Like the Amazon Echo - American Civil Liberties Union,https://news.google.com/rss/articles/CBMilAFBVV95cUxOa25DbEVpQXIxMmNTcm8xQTdSakxMMXMxTkp2dFZ0MFlNTUxuRGVOY3RtUWcteExlenhfOGkxa1pBWG5kM1NrVmszTjVSdmNHOGZCbVd4OUR6UXJwRDc3N0dEc1pmamhxM1VsTTVkaTZINFVjUWFQV0dSQUFZU1F5Ujc4MEdab2Y0QkxtMmtiYjlPTmpo?oc=5,https://news.google.com/rss/articles/CBMilAFBVV95cUxOa25DbEVpQXIxMmNTcm8xQTdSakxMMXMxTkp2dFZ0MFlNTUxuRGVOY3RtUWcteExlenhfOGkxa1pBWG5kM1NrVmszTjVSdmNHOGZCbVd4OUR6UXJwRDc3N0dEc1pmamhxM1VsTTVkaTZINFVjUWFQV0dSQUFZU1F5Ujc4MEdab2Y0QkxtMmtiYjlPTmpo?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.78,\bwarehouse (accident|issues?)\b|\bstrike\b|\bunion\b,[],1.4,0,1,,,0.381,weak,lex=0.70; conf=0.78; novelty,-0.78,-1,gpt-4o-mini,10476367101770029872,0,news.google.com,2017-01-12
Amazon Reveals Curated TV Subscriptions Strategy with 'Anime Strike' Prime Channel - MacRumors,https://news.google.com/rss/articles/CBMiigFBVV95cUxORTNWYXNnOWJ3UWp0cmVVVWN6d1R6Tm5SQ3NkN1lUNFplNlphNDdhWWRlYmIwUHM1RGhsS01yMWl5c2lGMVRFRE9BZkFuRkZqVVZ3REVMb1h5c3VkYzRGVV8tNUdYcHFBTlJSZnpPSEo3b1FycE5wSy1JY2kyblFUaDVKa01IYTNSdWc?oc=5,https://news.google.com/rss/articles/CBMiigFBVV95cUxORTNWYXNnOWJ3UWp0cmVVVWN6d1R6Tm5SQ3NkN1lUNFplNlphNDdhWWRlYmIwUHM1RGhsS01yMWl5c2lGMVRFRE9BZkFuRkZqVVZ3REVMb1h5c3VkYzRGVV8tNUdYcHFBTlJSZnpPSEo3b1FycE5wSy1JY2kyblFUaDVKa01IYTNSdWc?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.78,\bwarehouse (accident|issues?)\b|\bstrike\b|\bunion\b,[],1.4,0,1,,,0.381,weak,lex=0.70; conf=0.78; novelty,-0.78,-1,gpt-4o-mini,16104728399208095659,0,news.google.com,2017-01-14
Whole Foods brings millennial-focused 365 store to Brooklyn - Grocery Dive,https://news.google.com/rss/articles/CBMirgFBVV95cUxPYUZNNjUwNTRNdFQxbnpEWHlpV2hnUjFGUU5RV2ItYWVhUkROQ2ZySW5kNEl0a1g0Y2E1Z3R0dkNsTTlLb1o3ZnNJTmd0aG1RaVVIdEJXNjhXRjc0MEZRdTNrSXZrbFJUZFBQQWc0RzQyeFpDR1JlVTJhaHZpOHVCSEkxbUlKVGN1ZldiZVZueHVhV1NNcG9xX0xaMk5yaUVsallhT1hVMkc1Nk1FR0E?oc=5,https://news.google.com/rss/articles/CBMirgFBVV95cUxPYUZNNjUwNTRNdFQxbnpEWHlpV2hnUjFGUU5RV2ItYWVhUkROQ2ZySW5kNEl0a1g0Y2E1Z3R0dkNsTTlLb1o3ZnNJTmd0aG1RaVVIdEJXNjhXRjc0MEZRdTNrSXZrbFJUZFBQQWc0RzQyeFpDR1JlVTJhaHZpOHVCSEkxbUlKVGN1ZldiZVZueHVhV1NNcG9xX0xaMk5yaUVsallhT1hVMkc1Nk1FR0E?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.78,\b(plunge|slump|tumble|drop|fall|decline|slides?|sinks?|dives?)\b,[],1.4,0,1,,,0.381,weak,lex=0.70; conf=0.78; novelty,-0.78,-1,gpt-4o-mini,10938406276207802365,0,news.google.com,2017-01-22
New Horizons to continue mission of discovery with Kuiper Belt encounter - Spaceflight Now,https://news.google.com/rss/articles/CBMisAFBVV95cUxPRl9UXzNDb1pYWmtyZV9kZ1VaWlpzYlZaREozY0prM3hoQnhmRUYxT0JtN1NBVHlKQ1dZV1pSTnBycUdTb2ZrVllzanA5LUZFV3g3Nm4ybXp6blhIRTNMa2xUa0JMN0FSWXF0MmhMQ1VudE1zV1BucGxFdm44N3pqX1Ffam9xNUdKcWNBcXYyWHJDQTN5Zk95MXJHQjVZQUhnRkNFZlg4REJYUGwyWS1Ycg?oc=5,https://news.google.com/rss/articles/CBMisAFBVV95cUxPRl9UXzNDb1pYWmtyZV9kZ1VaWlpzYlZaREozY0prM3hoQnhmRUYxT0JtN1NBVHlKQ1dZV1pSTnBycUdTb2ZrVllzanA5LUZFV3g3Nm4ybXp6blhIRTNMa2xUa0JMN0FSWXF0MmhMQ1VudE1zV1BucGxFdm44N3pqX1Ffam9xNUdKcWNBcXYyWHJDQTN5Zk95MXJHQjVZQUhnRkNFZlg4REJYUGwyWS1Ycg?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.6,miss,[],0.0,0,0,,miss,0.16,weak,conf=0.60; novelty,-0.6,-1,gpt-4o-mini,15989322816007068601,0,news.google.com,2017-01-21
"Alibaba creator Jack Ma deviates from Amazon model, despite comparisons - Supply Chain Dive",https://news.google.com/rss/articles/CBMioAFBVV95cUxQeWpXdjFJMW9PWU85YXYxci1uaXVNamJDV2JFWC1sdk5neTBaUXlYZ1dldlAzdFhVcWN5QkZRWThRdVpJUGN5TDkwd0ZXNU1wT2FFckNNUG1CaG9SMWdoTHJzZXlpOHItOWllZmlzOVNZOHhVajhWd0RYYnZxY1RNcUcyUWlMeFZqNUR3Ykc0Q1J6Q29VN2VnYnpmX0FpQlhu?oc=5,https://news.google.com/rss/articles/CBMioAFBVV95cUxQeWpXdjFJMW9PWU85YXYxci1uaXVNamJDV2JFWC1sdk5neTBaUXlYZ1dldlAzdFhVcWN5QkZRWThRdVpJUGN5TDkwd0ZXNU1wT2FFckNNUG1CaG9SMWdoTHJzZXlpOHItOWllZmlzOVNZOHhVajhWd0RYYnZxY1RNcUcyUWlMeFZqNUR3Ykc0Q1J6Q29VN2VnYnpmX0FpQlhu?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.78,\b(plunge|slump|tumble|drop|fall|decline|slides?|sinks?|dives?)\b,[],1.4,0,1,,,0.381,weak,lex=0.70; conf=0.78; novelty,-0.78,-1,gpt-4o-mini,13713046326640910004,0,news.google.com,2017-01-21
