title,url,used_url,body_len,label,confidence,evidence,aspects,lex_margin,lex_hits_pos_n,lex_hits_neg_n,trig_pos,trig_neg,impact_score,impact_tier,impact_why,sent_score,label_int,model_used,simhash64,reused_from_cluster,domain,date
App Store shatters records on New Year’s Day - Apple,https://news.google.com/rss/articles/CBMiiwFBVV95cUxOckZkTmlTLUJJUkF6ay1IWVhfb3VTUmVJOXg0UURScU1rU3pFZ0p6RGU3ekY5anZpUjF5NFAyYTNoZkFPSXdkTlJUbzlFTG9JMWlYeTV4UVVYX1REQ1FQVm9CM0EtU1FsVEFjQmZSV0w4UDZqQkpfOWhHMWJLUHlUcXRNa2xvOWROZkQ4?oc=5,https://news.google.com/rss/articles/CBMiiwFBVV95cUxOckZkTmlTLUJJUkF6ay1IWVhfb3VTUmVJOXg0UURScU1rU3pFZ0p6RGU3ekY5anZpUjF5NFAyYTNoZkFPSXdkTlJUbzlFTG9JMWlYeTV4UVVYX1REQ1FQVm9CM0EtU1FsVEFjQmZSV0w4UDZqQkpfOWhHMWJLUHlUcXRNa2xvOWROZkQ4?oc=5&hl=en-US&gl=US&ceid=US:en,0,bullish,0.6,record,[],0.0,0,0,record,,0.16,weak,conf=0.60; novelty,0.6,1,gpt-4o-mini,13473458011593883134,0,news.google.com,2017-01-04
GarageBand and Logic Pro X music apps get major updates - Apple,https://news.google.com/rss/articles/CBMimwFBVV95cUxQb1N2QWcxN1hEME9lX2gyWVlGajduRXBqcGE5RGQ0eFgwdW9VclZaYjR4MnNmNGpJZnZBRmVDM2lHcGFjdnhIN3dvVU5JQWJSbmpwQzdVNWRzeW8xVkNER2xtT3RaaFJvYVJORy1Ecl8wV3ZDWHVhSGctY0ZiWlA1S3FpQnhDZFpFeEdKaEtvUkdWTnkyVU0zcXF3OA?oc=5,https://news.google.com/rss/articles/CBMimwFBVV95cUxQb1N2QWcxN1hEME9lX2gyWVlGajduRXBqcGE5RGQ0eFgwdW9VclZaYjR4MnNmNGpJZnZBRmVDM2lHcGFjdnhIN3dvVU5JQWJSbmpwQzdVNWRzeW8xVkNER2xtT3RaaFJvYVJORy1Ecl8wV3ZDWHVhSGctY0ZiWlA1S3FpQnhDZFpFeEdKaEtvUkdWTnkyVU0zcXF3OA?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.6,ban,[],0.0,0,0,,ban,0.16,weak,conf=0.60; novelty,-0.6,-1,gpt-4o-mini,13828041300494927214,0,news.google.com,2017-01-17
Sooooclose to a fresh F-Mac album: Lindsey Buckingham and Christine McVie’s project has another Fleetwood duo’s help - Pocono Record,https://news.google.com/rss/articles/CBMipwFBVV95cUxOSHY0VzFPWmNzUjdvd080RERZSC04SjhXd0pvVW52emFxR05sMmRfSXNWUnBMeUc1c0dYR2pZdGdSSUhWM0lRbUV6eEx5U1N4dURsRVJnVnp3eWZCcUkxY3h0UU5uUm8wSHRQYndxUnpmWl9mZXNvUlN6ZHA5SUMwd0xaS0FXUjg5ODFiYnFZUEFManlpMGU2WGJ4bjdkZDV2ZGpaTDNRbw?oc=5,https://news.google.com/rss/articles/CBMipwFBVV95cUxOSHY0VzFPWmNzUjdvd080RERZSC04SjhXd0pvVW52emFxR05sMmRfSXNWUnBMeUc1c0dYR2pZdGdSSUhWM0lRbUV6eEx5U1N4dURsRVJnVnp3eWZCcUkxY3h0UU5uUm8wSHRQYndxUnpmWl9mZXNvUlN6ZHA5SUMwd0xaS0FXUjg5ODFiYnFZUEFManlpMGU2WGJ4bjdkZDV2ZGpaTDNRbw?oc=5&hl=en-US&gl=US&ceid=US:en,0,bullish,0.6,record,[],0.0,0,0,record,,0.16,weak,conf=0.60; novelty,0.6,1,gpt-4o-mini,11231854322880210352,0,news.google.com,2017-01-21
Apple iOS 10.2.1 Release: Should You Upgrade? - Forbes,https://news.google.com/rss/articles/CBMinAFBVV95cUxQc3pUMUpEQXhzdk9OWDZhb3BKeFRJamZpa0EwY2dnb1JkRTFMbWo5eVlOdnNyWTFRdEwxNFR1WmdtTzc4SUJaOXlsRFU3aVhYN3F0SFVGQ1g2RzF5SjBHaEtkSW53ckFBSGllc0dCVDg2YndwOXpSVXk4Z3lOUnAxNHlWb3F2T3NWSXFKb1A4c2xPSGNuZWdpWm8wNHU?oc=5,https://news.google.com/rss/articles/CBMinAFBVV95cUxQc3pUMUpEQXhzdk9OWDZhb3BKeFRJamZpa0EwY2dnb1JkRTFMbWo5eVlOdnNyWTFRdEwxNFR1WmdtTzc4SUJaOXlsRFU3aVhYN3F0SFVGQ1g2RzF5SjBHaEtkSW53ckFBSGllc0dCVDg2YndwOXpSVXk4Z3lOUnAxNHlWb3F2T3NWSXFKb1A4c2xPSGNuZWdpWm8wNHU?oc=5&hl=en-US&gl=US&ceid=US:en,0,bullish,0.78,upgrade,[],1.6,1,0,upgrade,,0.592,medium,hard_trig; lex=0.80; conf=0.78; novelty,0.78,1,gpt-4o-mini,16712640068386659709,0,news.google.com,2017-01-24
"I got a bottle of Big Mac Special Sauce from the guy who’s eaten 29,100 Big Macs: A minute-by-minute report - Milwaukee Record",https://news.google.com/rss/articles/CBMiogFBVV95cUxOa25DMmxLOTM5WFpUMlNZM2Q1dGxqTF96YnBWNUhXU3B3N2FCVHdrdmx0MTNJU2tRVVdWcFFjN0V6WlZnZDZpamNPX2Z4V1JfQ3I1YUx1dlplQXJWZ2xKYU5mZXEtU1JBdjJDSkxLMlM1MEZkQmhpRzJmWHcwVGdWMnpZZWZtam91c3h5VVczYVBKNTZHbnJrbTNZMlNKZV9xeUE?oc=5,https://news.google.com/rss/articles/CBMiogFBVV95cUxOa25DMmxLOTM5WFpUMlNZM2Q1dGxqTF96YnBWNUhXU3B3N2FCVHdrdmx0MTNJU2tRVVdWcFFjN0V6WlZnZDZpamNPX2Z4V1JfQ3I1YUx1dlplQXJWZ2xKYU5mZXEtU1JBdjJDSkxLMlM1MEZkQmhpRzJmWHcwVGdWMnpZZWZtam91c3h5VVczYVBKNTZHbnJrbTNZMlNKZV9xeUE?oc=5&hl=en-US&gl=US&ceid=US:en,0,bullish,0.6,record,[],0.0,0,0,record,,0.16,weak,conf=0.60; novelty,0.6,1,gpt-4o-mini,12965732261532464886,0,news.google.com,2017-01-26
Apple CEO Tim Cook on Trump’s Muslim ban: ‘Apple would not exist without immigration ... It is not a policy we support.’ - vox.com,https://news.google.com/rss/articles/CBMibEFVX3lxTE9tMHEwcHFFMkV2SmN3UGxuX21mVkRBbjRxVUJWZkMzSHBwdUtjNm5tNUtyNDVWTVp5VXJKTDVtMGdDRlk5bXpzMkhJN1c4SGk1LVNXX0trRWY5N2N5Y0hTWHgwVmdCemhwVzFrUg?oc=5,https://news.google.com/rss/articles/CBMibEFVX3lxTE9tMHEwcHFFMkV2SmN3UGxuX21mVkRBbjRxVUJWZkMzSHBwdUtjNm5tNUtyNDVWTVp5VXJKTDVtMGdDRlk5bXpzMkhJN1c4SGk1LVNXX0trRWY5N2N5Y0hTWHgwVmdCemhwVzFrUg?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.6,ban,[],0.0,0,0,,ban,0.16,weak,conf=0.60; novelty,-0.6,-1,gpt-4o-mini,11817338487758376546,0,news.google.com,2017-01-27
"Apple, Nevada utility strike deal to build 200 MW solar project - Utility Dive",https://news.google.com/rss/articles/CBMipgFBVV95cUxPREVvLXFUNnZlR3pLRHdGc09ydGFMemFaaVFTV1VKM3lVRzAyMU9oMUJBYV9CQ0M0eVlzcVZvZ2FiT2NRNE11ZlZ3dUt0RlhoZHJiWndYM19odlFhcmhIa1h1ZkxkUHVFYWpSZ2dnZGVLRXRPUHBEX2RzY0NidjdDX0djdHFYRWZzYmZRa1EzbDMzSGNKQTc3NWs1MXYxSUhOTGZGXzZ3?oc=5,https://news.google.com/rss/articles/CBMipgFBVV95cUxPREVvLXFUNnZlR3pLRHdGc09ydGFMemFaaVFTV1VKM3lVRzAyMU9oMUJBYV9CQ0M0eVlzcVZvZ2FiT2NRNE11ZlZ3dUt0RlhoZHJiWndYM19odlFhcmhIa1h1ZkxkUHVFYWpSZ2dnZGVLRXRPUHBEX2RzY0NidjdDX0djdHFYRWZzYmZRa1EzbDMzSGNKQTc3NWs1MXYxSUhOTGZGXzZ3?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.78,\b(plunge|slump|tumble|drop|fall|decline|slides?|sinks?|dives?)\b,[],1.4,0,1,,,0.381,weak,lex=0.70; conf=0.78; novelty,-0.78,-1,gpt-4o-mini,10767266863743009648,0,news.google.com,2017-01-28
Apple faces China challenges despite iPhone resurgence - Financial Times,https://news.google.com/rss/articles/CBMicEFVX3lxTE8xWnk3YlM0R0NwRjhYMWFQcGpyU1daTkkzUUFXRjR3Y0dGS0MtMm9mWl9GZElNX0F5Z2lDMGM2OHdXSllqbzI4dExpX2lwWXh0WmpWTFlYbHBZcFNwa2ZZaTd4c1ZDZHVwS3phd24wNy0?oc=5,https://news.google.com/rss/articles/CBMicEFVX3lxTE8xWnk3YlM0R0NwRjhYMWFQcGpyU1daTkkzUUFXRjR3Y0dGS0MtMm9mWl9GZElNX0F5Z2lDMGM2OHdXSllqbzI4dExpX2lwWXh0WmpWTFlYbHBZcFNwa2ZZaTd4c1ZDZHVwS3phd24wNy0?oc=5&hl=en-US&gl=US&ceid=US:en,0,bullish,0.6,surge,[],0.0,0,0,surge,,0.16,weak,conf=0.60; novelty,0.6,1,gpt-4o-mini,11620705499752076420,0,news.google.com,2017-01-30
iPhone 7 propels Apple to record-shattering sales - CNET,https://news.google.com/rss/articles/CBMigwFBVV95cUxPVXk3TzI4aHlmcVZ6Q3NLZE5URVJtcWZjek1OOVVtY2djQWZJZXpHcmhwM3piMFI5bFRUOXA5SFNSbk5JenRac0dLcVBJdjY5aHFQR2lIVlNUVDBrak9OOWpQRi05RnJENzlTU3NFNGZOQjhsV2lRS25WT0xhdnZxVERMUQ?oc=5,https://news.google.com/rss/articles/CBMigwFBVV95cUxPVXk3TzI4aHlmcVZ6Q3NLZE5URVJtcWZjek1OOVVtY2djQWZJZXpHcmhwM3piMFI5bFRUOXA5SFNSbk5JenRac0dLcVBJdjY5aHFQR2lIVlNUVDBrak9OOWpQRi05RnJENzlTU3NFNGZOQjhsV2lRS25WT0xhdnZxVERMUQ?oc=5&hl=en-US&gl=US&ceid=US:en,0,bullish,0.6,record,[],0.0,0,0,record,,0.16,weak,conf=0.60; novelty,0.6,1,gpt-4o-mini,9486779138676266843,0,news.google.com,2017-01-30
The Beats X Prove Apple Has Nailed Wireless Headphones - New York Magazine,https://news.google.com/rss/articles/CBMiogFBVV95cUxPeW5aV1J6WUhIRHZhRkRWMWFybkFzWFV1M21BcnVqbWNvTV9fdXAxdnktMHc3a1hqTVRWR25mVFRhM2Z2YUlvY0s3QnBYcDZMUkJkbmRGaEFhV2t2OTQ3M1dTaE1sNGNRbDJnWE1ESmtpbW1LQi1DeWlIamlDekhIRWxjUzNacFFIRkFQQ1VpS1J6bDNLalFQV29veUdsS2o3ZFE?oc=5,https://news.google.com/rss/articles/CBMiogFBVV95cUxPeW5aV1J6WUhIRHZhRkRWMWFybkFzWFV1M21BcnVqbWNvTV9fdXAxdnktMHc3a1hqTVRWR25mVFRhM2Z2YUlvY0s3QnBYcDZMUkJkbmRGaEFhV2t2OTQ3M1dTaE1sNGNRbDJnWE1ESmtpbW1LQi1DeWlIamlDekhIRWxjUzNacFFIRkFQQ1VpS1J6bDNLalFQV29veUdsS2o3ZFE?oc=5&hl=en-US&gl=US&ceid=US:en,0,bullish,0.6,beats,[],0.0,0,0,beats,,0.16,weak,conf=0.60; novelty,0.6,1,gpt-4o-mini,18440972485504276374,0,news.google.com,2017-02-09
