title,url,used_url,body_len,label,confidence,evidence,aspects,lex_margin,lex_hits_pos_n,lex_hits_neg_n,trig_pos,trig_neg,impact_score,impact_tier,impact_why,sent_score,label_int,model_used,simhash64,reused_from_cluster,domain,date
"YouTube leaper suspected of high jump into Laguna Beach hotel pool, apparently injuring his feet - Los Angeles Times",https://news.google.com/rss/articles/CBMilgFBVV95cUxOT0JXSGVxbFRZcktscGdNTlpZNTRmS2hGR2FEbWxBUFB6TVhfMzRfYzhzVFFPZGNwRGVYekhBVGszcERtMjk2SnlkWXRNZmE2S3NvQkQzeEpLa0R5YVNoZGtjMTdjYUJUaWV4aUF1NHgtMXI0MF9sdWE3Y3JWXzV1cWNwaXE4enhPclZQdWhTVE4yRl9pMVE?oc=5,https://news.google.com/rss/articles/CBMilgFBVV95cUxOT0JXSGVxbFRZcktscGdNTlpZNTRmS2hGR2FEbWxBUFB6TVhfMzRfYzhzVFFPZGNwRGVYekhBVGszcERtMjk2SnlkWXRNZmE2S3NvQkQzeEpLa0R5YVNoZGtjMTdjYUJUaWV4aUF1NHgtMXI0MF9sdWE3Y3JWXzV1cWNwaXE4enhPclZQdWhTVE4yRl9pMVE?oc=5&hl=en-US&gl=US&ceid=US:en,0,bullish,0.78,\bsurges?|soars?|rall(y|ies)|jumps?|spikes?\b,[],1.4,1,0,,,0.381,weak,lex=0.70; conf=0.78; novelty,0.78,1,gpt-4o-mini,3267130447970670305,0,news.google.com,2017-01-02
Study: 59% of millennials only watch YouTube ads until they can skip - Marketing Dive,https://news.google.com/rss/articles/CBMirgFBVV95cUxQazdqbnhtTkZxM1d3T3FJUFRxenl2THNWaHJ4R2V0d3RERVl2LXgtQm01ajZBcFR4dGdTbG8zU0pCYlhZcDVCX2t6VmZ1dExFXy1HTHFoVE9WR2lQbmtHeE9VTkFRT2FES0QyLUJwVEd2ZUZ0OThWSm51bXFLbjFRQ3JheFdyd2NPVHVuUFVBVjREUG9CRm5yOU5OTTFmU3pPOU5tdm5RQkE2LVhGUGc?oc=5,https://news.google.com/rss/articles/CBMirgFBVV95cUxQazdqbnhtTkZxM1d3T3FJUFRxenl2THNWaHJ4R2V0d3RERVl2LXgtQm01ajZBcFR4dGdTbG8zU0pCYlhZcDVCX2t6VmZ1dExFXy1HTHFoVE9WR2lQbmtHeE9VTkFRT2FES0QyLUJwVEd2ZUZ0OThWSm51bXFLbjFRQ3JheFdyd2NPVHVuUFVBVjREUG9CRm5yOU5OTTFmU3pPOU5tdm5RQkE2LVhGUGc?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.78,\b(plunge|slump|tumble|drop|fall|decline|slides?|sinks?|dives?)\b,[],1.4,0,1,,,0.381,weak,lex=0.70; conf=0.78; novelty,-0.78,-1,gpt-4o-mini,2865746756399201250,0,news.google.com,2017-01-08
Google confirms rolling out the mobile intrusive interstitials penalty yesterday - Search Engine Land,https://news.google.com/rss/articles/CBMirAFBVV95cUxNRlZPN2NOaWs2RTNSazB3Si1WcXdudS1Qa01DdkhvYk1idU5BNmVIcWt3NkNwaWlDX1VBdkRtaXk0MG1RNHhiU1FOVFBMaU1OamVEYS1pRVdCU1pIeWh3WDdsN2pSai1TbWxrTElNNl8xLUhFYTJXdEFteDM4UEJIZzRrUF9LY3R3RUNOZG1MYjZNWmdVS3dPclVkR3kwN0lJNkVySWFrMHpwWHZT?oc=5,https://news.google.com/rss/articles/CBMirAFBVV95cUxNRlZPN2NOaWs2RTNSazB3Si1WcXdudS1Qa01DdkhvYk1idU5BNmVIcWt3NkNwaWlDX1VBdkRtaXk0MG1RNHhiU1FOVFBMaU1OamVEYS1pRVdCU1pIeWh3WDdsN2pSai1TbWxrTElNNl8xLUhFYTJXdEFteDM4UEJIZzRrUF9LY3R3RUNOZG1MYjZNWmdVS3dPclVkR3kwN0lJNkVySWFrMHpwWHZT?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.78,\b(fined|fine of|penalty|penalized)\b,[],1.8,0,1,,,0.456,medium,lex=0.90; conf=0.78; novelty,-0.78,-1,gpt-4o-mini,12792403854520361782,0,news.google.com,2017-01-10
Google Maps streamlines Uber integration for a one-stop experience - Marketing Dive,https://news.google.com/rss/articles/CBMilAFBVV95cUxPVGQtOVJBSVhLZ1RmRzhaN3dtcC1uQUZ6bEhnNjhxMngwWW9aQ3F4X2JCX0Zha2Qza2VNS3MtRWtVN3NKSnM4NWlOUUxFZWpqajAtbGFTVmJQc3NSZnFnSXVIY2cyRUlGaTJRb2NPcEQxSWhaNVNPZ0pEYUNZcGtvYWdOa2V6Y19idU5zV3JjazgyVEJm?oc=5,https://news.google.com/rss/articles/CBMilAFBVV95cUxPVGQtOVJBSVhLZ1RmRzhaN3dtcC1uQUZ6bEhnNjhxMngwWW9aQ3F4X2JCX0Zha2Qza2VNS3MtRWtVN3NKSnM4NWlOUUxFZWpqajAtbGFTVmJQc3NSZnFnSXVIY2cyRUlGaTJRb2NPcEQxSWhaNVNPZ0pEYUNZcGtvYWdOa2V6Y19idU5zV3JjazgyVEJm?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.78,\b(plunge|slump|tumble|drop|fall|decline|slides?|sinks?|dives?)\b,[],1.4,0,1,,,0.381,weak,lex=0.70; conf=0.78; novelty,-0.78,-1,gpt-4o-mini,4022345579555673467,0,news.google.com,2017-01-12
Don't Fall For This Dangerously Convincing Ongoing Phishing Attack - The Hacker News,https://news.google.com/rss/articles/CBMiakFVX3lxTE1JQ3haUV9Pb1ZRdWFFR1kzbFd6M0lidENCRmpaSHgxRVBYOXhfQ2NHRkw5WXdyNTFJTUxhZ0NpbHBCVTUzRzA5cTlIS1VmUlFvbFBsMm9pMFFOZG9lRmpkcDJneWVXZl9JUGc?oc=5,https://news.google.com/rss/articles/CBMiakFVX3lxTE1JQ3haUV9Pb1ZRdWFFR1kzbFd6M0lidENCRmpaSHgxRVBYOXhfQ2NHRkw5WXdyNTFJTUxhZ0NpbHBCVTUzRzA5cTlIS1VmUlFvbFBsMm9pMFFOZG9lRmpkcDJneWVXZl9JUGc?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.72,\b(plunge|slump|tumble|drop|fall|decline|slides?|sinks?|dives?)\b,[],1.12,0,1,,,0.27,weak,lex=0.56; conf=0.72; pen:low_relevance; novelty,-0.72,-1,gpt-4o-mini,8578505617026188338,0,news.google.com,2017-01-15
"Meet Forward, a doctor office startup run by ex-Uber, Google employees - Healthcare Dive",https://news.google.com/rss/articles/CBMijgFBVV95cUxOOVhodTJNOV8tZlgwdE9OSy00MWI3WWlYdmFubURZZlloYkZyb0RFTDY1RHlNUm4zSXl1LUN3bnE1ZlM2UFNvUEFxOHNJUHVlcW9uZ0Vrb0dCTGNVRTA1WmlOdG8zRWJUZWVZMC1Fb1pnSHBSUnd1RXhFRTJscDdzdmZsWlJDcWFqdnpLYWxn?oc=5,https://news.google.com/rss/articles/CBMijgFBVV95cUxOOVhodTJNOV8tZlgwdE9OSy00MWI3WWlYdmFubURZZlloYkZyb0RFTDY1RHlNUm4zSXl1LUN3bnE1ZlM2UFNvUEFxOHNJUHVlcW9uZ0Vrb0dCTGNVRTA1WmlOdG8zRWJUZWVZMC1Fb1pnSHBSUnd1RXhFRTJscDdzdmZsWlJDcWFqdnpLYWxn?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.78,\b(plunge|slump|tumble|drop|fall|decline|slides?|sinks?|dives?)\b,[],1.4,0,1,,,0.381,weak,lex=0.70; conf=0.78; novelty,-0.78,-1,gpt-4o-mini,13082895321125748582,0,news.google.com,2017-01-17
UCL students learn state-of-the-art AI in DeepMind partnership | UCL News - UCL - University College London,https://news.google.com/rss/articles/CBMikgFBVV95cUxQWmxUYlpjVk9MS2sxN05KaUQ4UUtFQ1VmUm1UZnNzZ1JoUzRMOHF3czNiMEZIaHBUbmhoVldBRjNCazNjX0ZTeVBZMG9yRHFuSEtsYmtVNEczdm90SUoxSkFTd0tEN21sTUdCXzEzYXR6a2dlM1hQdVBHSUlLdlBqczU1ejZuOWV4RTdmTXp0ZXpHUQ?oc=5,https://news.google.com/rss/articles/CBMikgFBVV95cUxQWmxUYlpjVk9MS2sxN05KaUQ4UUtFQ1VmUm1UZnNzZ1JoUzRMOHF3czNiMEZIaHBUbmhoVldBRjNCazNjX0ZTeVBZMG9yRHFuSEtsYmtVNEczdm90SUoxSkFTd0tEN21sTUdCXzEzYXR6a2dlM1hQdVBHSUlLdlBqczU1ejZuOWV4RTdmTXp0ZXpHUQ?oc=5&hl=en-US&gl=US&ceid=US:en,0,bullish,0.78,partnership,[],1.4,1,0,partnership,,0.381,weak,lex=0.70; conf=0.78; novelty,0.78,1,gpt-4o-mini,3804337064081312349,0,news.google.com,2017-01-19
"Google's Sergey Brin joins anti-travel ban protests at San Francisco airport, says 'I'm a refugee' - CNBC",https://news.google.com/rss/articles/CBMiygFBVV95cUxQSDhkRmp0cENOaEI2UFZNUXZ4WXNSX0ZmSnhydnRHSHhseFljLUM4S2Jxb0hDOFdOMG9sOFMwb1ZFYXEtWEZSN0VwSDZIc0RrSThpUzhwODN0SnU0WGRDV0owYVVpLWJUa1lRY0RROFJQa2NIcVdUNjhhZ3JadXdIVzIzYzYzUTZIRjhmZmtMc3BnbTAwQTRENXl5aVh2WjNqeU1XaXU3bzhUSi15djdLeFpIMXdFYWVnT0Y4SXlaR0E2cTlMa1JHNUdB0gHPAUFVX3lxTE1kMlM2WnVQS1R4bWM3V2xZakMzVTB0WEJCTjNZRmxsTFlVQ1FrSWVwN0FxSldsQlFDV3FWeEQzZ25zTWhWSEpzb0NUUFJCcHFKYWpNMUpOT2xsR0dXYlJaaFJGQk4tWm4tRzNwbVJxZ3NRMzlDSzZnQXJIR0M4bjMxbTRPSzFoVm83VUZMMndBVGVBalFSZEZmQXdnUGp6S0tSdVJmWFlhZlNqd2FtRS10WHlkT2JVRE5pdVZZM2ZacXEtTC1Sbm8zZGYyVWVoVQ?oc=5,https://news.google.com/rss/articles/CBMiygFBVV95cUxQSDhkRmp0cENOaEI2UFZNUXZ4WXNSX0ZmSnhydnRHSHhseFljLUM4S2Jxb0hDOFdOMG9sOFMwb1ZFYXEtWEZSN0VwSDZIc0RrSThpUzhwODN0SnU0WGRDV0owYVVpLWJUa1lRY0RROFJQa2NIcVdUNjhhZ3JadXdIVzIzYzYzUTZIRjhmZmtMc3BnbTAwQTRENXl5aVh2WjNqeU1XaXU3bzhUSi15djdLeFpIMXdFYWVnT0Y4SXlaR0E2cTlMa1JHNUdB0gHPAUFVX3lxTE1kMlM2WnVQS1R4bWM3V2xZakMzVTB0WEJCTjNZRmxsTFlVQ1FrSWVwN0FxSldsQlFDV3FWeEQzZ25zTWhWSEpzb0NUUFJCcHFKYWpNMUpOT2xsR0dXYlJaaFJGQk4tWm4tRzNwbVJxZ3NRMzlDSzZnQXJIR0M4bjMxbTRPSzFoVm83VUZMMndBVGVBalFSZEZmQXdnUGp6S0tSdVJmWFlhZlNqd2FtRS10WHlkT2JVRE5pdVZZM2ZacXEtTC1Sbm8zZGYyVWVoVQ?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.6,ban,[],0.0,0,0,,ban,0.16,weak,conf=0.60; novelty,-0.6,-1,gpt-4o-mini,13531642642088171072,0,news.google.com,2017-01-28
Google's Pixel a Success Despite Missing on Demand - Industrial Equipment News,https://news.google.com/rss/articles/CBMipgFBVV95cUxQYmtxeV9xMGJfVzZyS2VleUVKMzlxbzFVSk92azZXci1hZEkwQmhKZV93UUV0YUFycVltQ0JrdlM1R3d0cTdBVGtSZ25fUTNOZm5fX2lPRmJMazBxcUlkREdiNGtfdGJoSE55OEtYMFhrakJxQzBhZGhKQ04xV2Zwb1N6SzZyRDEtYk9Gc1NxVW93VlJxOUJiMFB0VmxYMFEtNmZkTEdn?oc=5,https://news.google.com/rss/articles/CBMipgFBVV95cUxQYmtxeV9xMGJfVzZyS2VleUVKMzlxbzFVSk92azZXci1hZEkwQmhKZV93UUV0YUFycVltQ0JrdlM1R3d0cTdBVGtSZ25fUTNOZm5fX2lPRmJMazBxcUlkREdiNGtfdGJoSE55OEtYMFhrakJxQzBhZGhKQ04xV2Zwb1N6SzZyRDEtYk9Gc1NxVW93VlJxOUJiMFB0VmxYMFEtNmZkTEdn?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.6,miss,[],0.0,0,0,,miss,0.16,weak,conf=0.60; novelty,-0.6,-1,gpt-4o-mini,4223241742825664895,0,news.google.com,2017-01-26
Google Recalls Staff to U.S. After Trump Immigration Order - Bloomberg.com,https://news.google.com/rss/articles/CBMiswFBVV95cUxNemMxYU1RUGxabHhvN3lBejlteElKTWo3ZjhlT0hCV3lnYTBFN3F6ekRvVHlidGVQTkhuQ2J1X2NQSVBBWmRJaEZlOGd6UU5vaVJneEs2MlJCeGJfWXdTTGQwZ1lnM0dSWUJoM0JpQ3BWMllSMkxsdnRBdzRodGdrcEVwNDFGVlZvc3JxSkRHcExBUk44N1NOWEFvbVRnSlU5MWp3OE1xXzhwNzFYWlJIcGNOdw?oc=5,https://news.google.com/rss/articles/CBMiswFBVV95cUxNemMxYU1RUGxabHhvN3lBejlteElKTWo3ZjhlT0hCV3lnYTBFN3F6ekRvVHlidGVQTkhuQ2J1X2NQSVBBWmRJaEZlOGd6UU5vaVJneEs2MlJCeGJfWXdTTGQwZ1lnM0dSWUJoM0JpQ3BWMllSMkxsdnRBdzRodGdrcEVwNDFGVlZvc3JxSkRHcExBUk44N1NOWEFvbVRnSlU5MWp3OE1xXzhwNzFYWlJIcGNOdw?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.6,recall,[],0.0,0,0,,recall,0.277,weak,hard_trig; conf=0.60; novelty,-0.6,-1,gpt-4o-mini,18369345045157498490,0,news.google.com,2017-01-27
