title,url,used_url,body_len,label,confidence,evidence,aspects,lex_margin,lex_hits_pos_n,lex_hits_neg_n,trig_pos,trig_neg,impact_score,impact_tier,impact_why,sent_score,label_int,model_used,simhash64,reused_from_cluster,domain,date
A husband discovers his wife connected with an ex on facebook. What to do? - Psychology Today,https://news.google.com/rss/articles/CBMiowFBVV95cUxOTjNfcDQwbW9PeFF3OFc2UVh2WF9YbkZzYkFCYUtFUWVSX1ViQ0RDbUhER2tHNTF4WGxpWE9KZ3lyQUc2dmJXUFFQZnY1bHZzNEFSa2hLTGFLVE95dzdxY0pTbUpoUGJyQnA2MERIN2hrblhXQ2RDMGI1dElDUFZ6c05BWjN1dFJxLTRtSjhQZk4zYnpCeHRoakpyalhjd1FVNnRV0gGoAUFVX3lxTE1HOWUxOXdsTm5lSDVBQzVxX2o3V0EtM2tLT2R3Si1aNHpDRlRxX2pwX0ozRWx1NnkyN0s3TkdQc1dQeDR6bUZhX1BpcFZpUVM3MFhJMzVyV3VZQXdIX1ZvblB1Y1lXallaazFpWkplRmtUR3BMSTJLTE9xMUM0bWxUc0IxVnFKZ0Fxa3FZUUJmQjhjb2QwdjNNTW1rY25fY0pvSkU2S1hMUA?oc=5,https://news.google.com/rss/articles/CBMiowFBVV95cUxOTjNfcDQwbW9PeFF3OFc2UVh2WF9YbkZzYkFCYUtFUWVSX1ViQ0RDbUhER2tHNTF4WGxpWE9KZ3lyQUc2dmJXUFFQZnY1bHZzNEFSa2hLTGFLVE95dzdxY0pTbUpoUGJyQnA2MERIN2hrblhXQ2RDMGI1dElDUFZ6c05BWjN1dFJxLTRtSjhQZk4zYnpCeHRoakpyalhjd1FVNnRV0gGoAUFVX3lxTE1HOWUxOXdsTm5lSDVBQzVxX2o3V0EtM2tLT2R3Si1aNHpDRlRxX2pwX0ozRWx1NnkyN0s3TkdQc1dQeDR6bUZhX1BpcFZpUVM3MFhJMzVyV3VZQXdIX1ZvblB1Y1lXallaazFpWkplRmtUR3BMSTJLTE9xMUM0bWxUc0IxVnFKZ0Fxa3FZUUJmQjhjb2QwdjNNTW1rY25fY0pvSkU2S1hMUA?oc=5,0,bearish,0.6,ban,[],0.0,0,0,,ban,0.16,weak,conf=0.60; novelty,-0.6,-1,gpt-4o-mini,6583096296701456249,0,news.google.com,2017-01-04
Facebook Hires Campbell Brown to Lead News Partnerships Team (Published 2017) - The New York Times,https://news.google.com/rss/articles/CBMimgFBVV95cUxOdV82c3pZemlUQmhjeUViTkdid2NBOFFjMGdPRlQ5aWRIZ2dzY2d3Z1VJYUpaT0hmWVVrWHFTS19DekhROEtDN0FGNFFLNlRWQ3ZIVURmQU9uMFlBbmRRZUJKdlRzSGg2bExZQ0tJTHE0dHB1UUlHVi1BZGJjRGRNRWRGcDBTRnA5LUR0THVCdE80NU0wU3p3NDBB?oc=5,https://news.google.com/rss/articles/CBMimgFBVV95cUxOdV82c3pZemlUQmhjeUViTkdid2NBOFFjMGdPRlQ5aWRIZ2dzY2d3Z1VJYUpaT0hmWVVrWHFTS19DekhROEtDN0FGNFFLNlRWQ3ZIVURmQU9uMFlBbmRRZUJKdlRzSGg2bExZQ0tJTHE0dHB1UUlHVi1BZGJjRGRNRWRGcDBTRnA5LUR0THVCdE80NU0wU3p3NDBB?oc=5,0,bullish,0.6,partnership,[],0.0,0,0,partnership,,0.16,weak,conf=0.60; novelty,0.6,1,gpt-4o-mini,14802500838589682015,0,news.google.com,2017-01-05
Mark Zuckerberg will testify in a $2 billion lawsuit that claims the VR startup he bought was based on stolen tech - Business Insider,https://news.google.com/rss/articles/CBMixAFBVV95cUxNOUxQVVQ3N2R5SzlxMW9iTUloU0stVkdHYTBqVGRnUEFrUkdxdW44ZlJhekJUc2hERk1wbmktRFNkX3hwWU1rOUtacEEzUDBXVmhGWldsVVRTTG1jTTI5S01MUlZLczRhdWc2Z3JPY3g2RkJsZWdRSndEUmJYd244ZE9qeXlxeDFNb0ZacXVQQzIzYkJ0bG1yZ1pmY1R1SE14MHY5Q1NwTnZTSVdub1dCa2s4OVRTMmFLVlpFckFNRWQ1c2lS?oc=5,https://news.google.com/rss/articles/CBMixAFBVV95cUxNOUxQVVQ3N2R5SzlxMW9iTUloU0stVkdHYTBqVGRnUEFrUkdxdW44ZlJhekJUc2hERk1wbmktRFNkX3hwWU1rOUtacEEzUDBXVmhGWldsVVRTTG1jTTI5S01MUlZLczRhdWc2Z3JPY3g2RkJsZWdRSndEUmJYd244ZE9qeXlxeDFNb0ZacXVQQzIzYkJ0bG1yZ1pmY1R1SE14MHY5Q1NwTnZTSVdub1dCa2s4OVRTMmFLVlpFckFNRWQ1c2lS?oc=5,0,bearish,0.6,lawsuit,[],0.0,0,0,,lawsuit,0.277,weak,hard_trig; conf=0.60; novelty,-0.6,-1,gpt-4o-mini,3153346067865913935,0,news.google.com,2017-01-13
"Migos Rapped A Children's Book. It's Funny, But It Makes Perfect Sense : The Record - NPR",https://news.google.com/rss/articles/CBMixAFBVV95cUxPbWNBdFVaVXNIQ2Y5em9UbzcyN1dkNVlNTU45LWFXV0tjbDdVWDBtY2Zqcmg2dFBkSTlCUTVGYmdsSDB0b3J2QUNYdU00S0FnbWl5cU9IV05uc1lsd3Q1aEQ1cXVRVFJDYzVBU1dZb0thX1pJcGZMTElaSFZST013NDJoekNpU0RWcHh2MjYzUmE4Q19JWnlGa2lDSFQ0MTJDT1ZUWGhoZ2hMbnJFbG1KZ1VzeHFvaEVoejYtR2Y1MDBYZUo4?oc=5,https://news.google.com/rss/articles/CBMixAFBVV95cUxPbWNBdFVaVXNIQ2Y5em9UbzcyN1dkNVlNTU45LWFXV0tjbDdVWDBtY2Zqcmg2dFBkSTlCUTVGYmdsSDB0b3J2QUNYdU00S0FnbWl5cU9IV05uc1lsd3Q1aEQ1cXVRVFJDYzVBU1dZb0thX1pJcGZMTElaSFZST013NDJoekNpU0RWcHh2MjYzUmE4Q19JWnlGa2lDSFQ0MTJDT1ZUWGhoZ2hMbnJFbG1KZ1VzeHFvaEVoejYtR2Y1MDBYZUo4?oc=5,0,bullish,0.55,record,[],0.0,0,0,record,,0.124,weak,conf=0.55; pen:low_relevance; novelty,0.55,1,gpt-4o-mini,61793937473663282,0,news.google.com,2017-01-26
Facebook greatly expands third-party measurement partnerships - Marketing Dive,https://news.google.com/rss/articles/CBMinwFBVV95cUxPWW1xeHN0RllKdEJKVDRDeXFEaVJvS0ptS2VZN2NWWmc0THg3N2RXNFo1LVdiOVpZdGtiVE1RNjZHUzhHdFZubWZQZFZqMFNnVGRPcHdrakstbDVudC1aZjdpV1J0Z1c0N3QxYjhHU0p3VlNGMVR6d2lFN3RFSmdsU0dmQXB5VFZWYnFRVC1zNTk1eF9LUk1MTF80UkdFdkE?oc=5,https://news.google.com/rss/articles/CBMinwFBVV95cUxPWW1xeHN0RllKdEJKVDRDeXFEaVJvS0ptS2VZN2NWWmc0THg3N2RXNFo1LVdiOVpZdGtiVE1RNjZHUzhHdFZubWZQZFZqMFNnVGRPcHdrakstbDVudC1aZjdpV1J0Z1c0N3QxYjhHU0p3VlNGMVR6d2lFN3RFSmdsU0dmQXB5VFZWYnFRVC1zNTk1eF9LUk1MTF80UkdFdkE?oc=5,0,bullish,0.78,partnership,[],1.4,0,1,partnership,,0.381,weak,lex=0.70; conf=0.78; novelty,0.78,1,gpt-4o-mini,8452311177909034977,0,news.google.com,2017-01-30
Ivanka Trump’s Instagram post causes stir during outcry over immigration ban - CNN,https://news.google.com/rss/articles/CBMid0FVX3lxTE8yVU1VUGgxcWdQY0MyTkJBX1NFWXowOFdPUm5vOUttMTVwb3dzS1h4a1dja0FmSGRMNTdNQmdTeWZXS2ZnSzYxS2syNzNRdlhuU3dQOFdMUjVoOEtlbUc1dUFfeUVoLWg5YkVoSjd4SUxORFFRZFg4?oc=5,https://news.google.com/rss/articles/CBMid0FVX3lxTE8yVU1VUGgxcWdQY0MyTkJBX1NFWXowOFdPUm5vOUttMTVwb3dzS1h4a1dja0FmSGRMNTdNQmdTeWZXS2ZnSzYxS2syNzNRdlhuU3dQOFdMUjVoOEtlbUc1dUFfeUVoLWg5YkVoSjd4SUxORFFRZFg4?oc=5,0,bearish,0.6,ban,[],0.0,0,0,,ban,0.16,weak,conf=0.60; novelty,-0.6,-1,gpt-4o-mini,7538277242274386491,0,news.google.com,2017-01-30
Facebook lost its Oculus lawsuit and has to pay $500 million - vox.com,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNU0VqVnNRSXZkWUs2VmlkNUhWcGVsLTRQT2NhRmRzM1FTOUhBNUNtdThEbkU0SkZJWXBzeHJLVDN3STdENzBybHhDbUcteVhRUGxNbngzcFRIU1FNWk1wUloxZGpMVFYzTmV1RHdEWHBNak1jRTdQX0pTdEJtZFpvR01WTjdBMF9p?oc=5,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNU0VqVnNRSXZkWUs2VmlkNUhWcGVsLTRQT2NhRmRzM1FTOUhBNUNtdThEbkU0SkZJWXBzeHJLVDN3STdENzBybHhDbUcteVhRUGxNbngzcFRIU1FNWk1wUloxZGpMVFYzTmV1RHdEWHBNak1jRTdQX0pTdEJtZFpvR01WTjdBMF9p?oc=5,0,bearish,0.6,lawsuit,[],0.0,0,0,,lawsuit,0.277,weak,hard_trig; conf=0.60; novelty,-0.6,-1,gpt-4o-mini,11718257511207584855,0,news.google.com,2017-01-31
Facebook's Oculus must pay $500m in virtual reality lawsuit - The Guardian,https://news.google.com/rss/articles/CBMijgFBVV95cUxNd0RPQmFGQnlSQUNrVGlpc1V2Q3hpUVM4RnZONU1ldG5FRy1iaGNFLVdPNlZEbkNRY0xHd05jUi1mVXllRENTeTVGSXllQW5TOVBwZHlodVJDeEluUWc0TGpTUzE4SEhwcEpDQ19BZnM3Y2tkSUhadTJFdldtdnhuZUNFQXV0dEk3NEZFMV93?oc=5,https://news.google.com/rss/articles/CBMijgFBVV95cUxNd0RPQmFGQnlSQUNrVGlpc1V2Q3hpUVM4RnZONU1ldG5FRy1iaGNFLVdPNlZEbkNRY0xHd05jUi1mVXllRENTeTVGSXllQW5TOVBwZHlodVJDeEluUWc0TGpTUzE4SEhwcEpDQ19BZnM3Y2tkSUhadTJFdldtdnhuZUNFQXV0dEk3NEZFMV93?oc=5,0,bearish,0.6,lawsuit,[],0.0,0,0,,lawsuit,0.277,weak,hard_trig; conf=0.60; novelty,-0.6,-1,gpt-4o-mini,17494758793206841927,0,news.google.com,2017-01-31
People Love This Cartoon About Trump's Travel Ban - BuzzFeed News,https://news.google.com/rss/articles/CBMiaEFVX3lxTFBYeHRmR2k5WkJqcFgyMVZ5Ump2cC13U3M4bkp4cEJhN3kxRnNJcnFHUmFaRTh0ekRsZjJsei12TUw2V3pNWHFnZGRKUWo1b3dsZlozekNBQmhCeEdDN2xMeVlKbGZwX0tC?oc=5,https://news.google.com/rss/articles/CBMiaEFVX3lxTFBYeHRmR2k5WkJqcFgyMVZ5Ump2cC13U3M4bkp4cEJhN3kxRnNJcnFHUmFaRTh0ekRsZjJsei12TUw2V3pNWHFnZGRKUWo1b3dsZlozekNBQmhCeEdDN2xMeVlKbGZwX0tC?oc=5,0,bearish,0.55,ban,[],0.0,0,0,,ban,0.124,weak,conf=0.55; pen:low_relevance; novelty,-0.55,-1,gpt-4o-mini,14051185822820741170,0,news.google.com,2017-02-04
"Ultra-wideband, Wide Angle and Polarization-insensitive Specular Reflection Reduction by Metasurface based on Parameter-adjustable Meta-Atoms - Nature",https://news.google.com/rss/articles/CBMiU0FVX3lxTE51UkZoVThGdXpNOTBTWVJ0LUJxcTRHQjlkSC02V1JvdnpGVjNYaFlZanJPQV9VZnJZMVFKdDlqUVFUOU54NDRFSWhjWHdTTkVfWGV3?oc=5,https://news.google.com/rss/articles/CBMiU0FVX3lxTE51UkZoVThGdXpNOTBTWVJ0LUJxcTRHQjlkSC02V1JvdnpGVjNYaFlZanJPQV9VZnJZMVFKdDlqUVFUOU54NDRFSWhjWHdTTkVfWGV3?oc=5,0,bearish,0.6,ban,[],0.0,0,0,,ban,0.16,weak,conf=0.60; novelty,-0.6,-1,gpt-4o-mini,7103422648370232546,0,news.google.com,2017-02-08
